SiteID,StoreNumber,City,State,Address,MatchMethod,CoordinateDistanceMiles,CandidateCount
303649,309,Abbeville,LA,3005 Charity St,Unique store number,0,1
304112,1097,Aberdeen,NC,250 Turner St,Unique store number,0,1
304762,1520,Aberdeen,SD,3820 7th Ave SE,Unique store number,0,1
303770,1968,Aberdeen,MD,645 S Philadelphia Blvd,Unique store number,0,1
138436,2037,Aberdeen,WA,909 E Wishkah St,Unique store number,0,1
745550,3748,Acworth,GA,3826 Cobb Pkwy NW,Unique store number,0,1
304491,479,Altus,OK,2500 N Main St,Unique store number,0,1
2333661,7206,High Point,NC,10250 S Main St,Unique store number,0,1
665981,3427,Artesia,NM,604 N 26th St,Unique store number,0,1
302687,133,Ashdown,AR,297 Highway 32 Byp,Unique store number,0,1
304872,226,Atlanta,TX,201 Loop 59,Unique store number,0,1
1815423,7601,Atlanta,GA,835 Martin Luther King Jr Dr NW,Unique store number,0,1
2046239,3741,Atlanta,GA,1105 Research Center Atlanta Dr,Unique store number,0,1
787685,4405,Aurora,IL,2900 Kirk Rd,Unique store number,0,1
304861,535,Abilene,TX,4350 Southwest Dr,Unique store number,0,1
2388289,5715,Abilene,TX,1619 Ambler Ave,Unique store number,0,1
304862,536,Abilene,TX,1650 State Highway 351,Unique store number,0,1
2403292,154,Abingdon,VA,16032 15 Mile Rd,Unique store number,0,1
303771,2009,Abingdon,MD,401 Constant Friendship Blvd,Unique store number,0,1
303730,2227,ABINGTON,MA,777 Brockton Ave,Unique store number,0,1
304490,231,Ada,OK,1419 N Country Club Rd,Unique store number,0,1
646619,5442,Addison,IL,1050 N Rohlwing Rd,Unique store number,0,1
2345845,7194,Adel,GA,351 Alabama Rd,Unique store number,0,1
303824,1836,Adrian,MI,1601 E Us Highway 223,Unique store number,0,1
304113,1950,Ahoskie,NC,2150 Us Highway 13 S,Unique store number,0,1
767151,4487,Aiken,SC,3581 Richland Ave W,Unique store number,0,1
304703,514,Aiken,SC,2035 Whiskey Rd,Unique store number,0,1
304386,2905,SUFFERN,NY,250 Route 59,Unique store number,0,1
304398,1911,Akron,OH,2887 S Arlington Rd,Unique store number,0,1
302665,423,Alabaster,AL,630 Colonial Promenade Pkwy,Unique store number,0,1
2311829,4756,Alabaster,AL,9085 Highway 119,Unique store number,0,1
513553,5165,Alamo,TX,1421 W Frontage Rd,Unique store number,0,1
304288,1306,Alamogordo,NM,233 S New York Ave,Unique store number,0,1
2360421,5726,Alamogordo,NM,2401 Indian Wells Rd,Unique store number,0,1
302933,869,Alamosa,CO,3333 Clark St,Unique store number,0,1
2220437,2152,Albany,NY,141 Washington Avenue Ext,Unique store number,0,1
2303748,2801,Albany,GA,108 S Westover Blvd,Unique store number,0,1
2333617,4517,Albany,GA,2586 N Slappey Blvd,Unique store number,0,1
1322546,5396,Albany,OR,1330 Goldfish Farm Rd SE,Unique store number,0,1
959176,5797,Albany,GA,262 Cordele Rd,Unique store number,0,1
303154,588,Albany,GA,2825 Ledo Rd,Unique store number,0,1
304114,1133,Albemarle,NC,781 Leonard Ave,Unique store number,0,1
303884,1020,Albert Lea,MN,1550 Blake Ave,Unique store number,0,1
703944,3607,Albion,NY,13858 State Route 31,Unique store number,0,1
704428,3317,Albuquerque,NM,8511 Golf Course Rd NW,Unique store number,0,1
304292,1397,Albuquerque,NM,10224 Coors Bypass NW,Unique store number,0,1
1947844,2451,Albuquerque,NM,4700 Cutler Ave NE,Unique store number,0,1
304294,2924,Albuquerque,NM,2550 Coors Blvd NW,Unique store number,0,1
764439,3385,Albuquerque,NM,9600 Sage Rd SW,Unique store number,0,1
2303799,3512,Albuquerque,NM,11018 Montgomery Blvd NE,Unique store number,0,1
2333628,4676,Albuquerque,NM,1820 Unser Blvd NW,Unique store number,0,1
869656,5491,Albuquerque,NM,2266 Wyoming Blvd NE,Unique store number,0,1
304291,824,Albuquerque,NM,8000 Academy Rd NE,Unique store number,0,1
304290,835,Albuquerque,NM,400 Eubank Blvd NE,Unique store number,0,1
304289,850,Albuquerque,NM,2701 Carlisle Blvd NE,Unique store number,0,1
1490986,5675,Albuquerque,NM,11001 Menaul Blvd NE,Unique store number,0,1
646621,5430,Albuquerque,NM,3500 Coors Blvd SW,Unique store number,0,1
304771,672,Alcoa,TN,1030 Hunters Xing,Unique store number,0,1
303327,792,ALEDO,IL,1500 SE 5th St,Unique store number,0,1
302602,726,Alexander City,AL,2643 Highway 280,Unique store number,0,1
303885,1632,Alexandria,MN,4611 State Highway 29 S,Unique store number,0,1
303575,1961,Alexandria,KY,6711 Alexandria Pike,Unique store number,0,1
619589,2194,Alexandria,VA,5885 Kingstowne Blvd,Unique store number,0,1
305157,2258,Alexandria,VA,7910 Richmond Hwy,Unique store number,0,1
2221239,3727,Alexandria,LA,812 Belleau Wood Blvd,Unique store number,0,1
801453,4295,Alexandria,LA,6225 Coliseum Blvd,Unique store number,0,1
303650,539,Alexandria,LA,2050 N Mall Dr,Unique store number,0,1
935478,5753,Alexandria,VA,6303 Richmond Hwy,Unique store number,0,1
499077,5060,Algonquin,IL,1410 S Randall Rd,Unique store number,0,1
513559,5175,Cookeville,TN,589 W Main St,Unique store number,0,1
304863,791,Alice,TX,2701 E Main St,Unique store number,0,1
907539,2918,Allen,TX,730 W Exchange Pkwy,Unique store number,0,1
466451,3574,Allen,TX,1520 E Exchange Pkwy,Unique store number,0,1
304597,2641,Allentown,PA,1091 Millcreek Rd,Unique store number,0,1
304399,2541,Alliance,OH,2700 W State St,Unique store number,0,1
1027932,1422,Alma,MI,7700 N Alger Rd,Unique store number,0,1
302684,358,Alma,AR,367 W Cherry St,Unique store number,0,1
303826,2358,Alpena,MI,1180 M 32 W,Unique store number,0,1
303155,2941,Alpharetta,GA,5200 Windward Pkwy,Unique store number,0,1
787647,4436,Alpharetta,GA,5455 Atlanta Hwy,Unique store number,0,1
303005,1374,Altamonte Springs,FL,200 S State Road 434,Unique store number,0,1
704467,3768,Altavista,VA,125 Clarion Rd,Unique store number,0,1
304598,2049,Altoona,PA,2600 Plank Rd,Unique store number,0,1
303261,2764,Altoona,IA,3501 8th St SW,Unique store number,0,1
304492,178,Alva,OK,914 E Oklahoma Blvd,Unique store number,0,1
304864,462,Alvin,TX,400 Highway 35 Byp N,Unique store number,0,1
670767,3383,Amarillo,TX,4215 Canyon Dr,Unique store number,0,1
2311811,4464,Amarillo,TX,2711 SW 58th Ave,Unique store number,0,1
513561,5216,Amarillo,TX,5730 W Amarillo Blvd,Unique store number,0,1
2278621,7349,Amarillo,TX,7251 Arden Rd,Unique store number,0,1
2219725,7362,Amarillo,TX,2035 SE 34th Ave,Unique store number,0,1
897377,755,Amarillo,TX,4610 S Coulter St,Unique store number,0,1
304866,822,Amarillo,TX,3700 E Interstate 40,Unique store number,0,1
680087,3342,Amelia,OH,1815 E Ohio Pike,Unique store number,0,1
766601,1651,American Canyon,CA,7011 Main St,Unique store number,0,1
305136,2511,American Fork,UT,949 W Grassland Dr,Unique store number,0,1
303156,758,Americus,GA,1711 E Lamar St,Unique store number,0,1
787640,4256,Ames,IA,534 S Duff Ave,Unique store number,0,1
303262,749,Ames,IA,3105 Grand Ave,Unique store number,0,1
304238,1796,Amherst,NH,85 State Route 101A,Unique store number,0,1
1066325,2210,Buffalo,NY,3290 Sheridan Dr,Unique store number,0,1
704465,3616,Amite,LA,1200 W Oak St,Unique store number,0,1
304040,118,Amory,MS,1515 Highway 278 E,Unique store number,0,1
304331,2146,Amsterdam,NY,101 Sanford Farms Shopping Ctr,Unique store number,0,1
304493,162,ANADARKO,OK,1201 W Petree Rd,Unique store number,0,1
302806,2242,Anaheim,CA,440 N Euclid St,Unique store number,0,1
2120189,3101,Anaheim,CA,121 N Beach Blvd,Unique store number,0,1
1788423,5640,Anaheim,CA,1120 S Anaheim Blvd,Unique store number,0,1
1028194,5930,Anaheim,CA,88 E Orangethorpe Ave,Unique store number,0,1
303263,646,Anamosa,IA,101 115th St,Unique store number,0,1
302595,2070,Anchorage,AK,3101 A St,Unique store number,0,1
302596,2071,Anchorage,AK,8900 Old Seward Hwy,Unique store number,0,1
1989812,4359,Anchorage,AK,7405 Debarr Rd,Unique store number,0,1
302603,1091,Andalusia,AL,1991 Dr M L K Jr Expy,Unique store number,0,1
303440,1728,ANDERSON,IN,2321 Charles St,Unique store number,0,1
304705,396,ANDERSON,SC,3812 Liberty Hwy Ste 1,Unique store number,0,1
2258733,4443,Anderson,SC,2003 E Greenville St,Unique store number,0,1
703948,5133,Anderson,CA,5000 Rhonda Rd,Unique store number,0,1
304704,644,ANDERSON,SC,651 Highway 28 Byp,Unique store number,0,1
2013817,1999,Andover,MN,1851 Bunker Lake Blvd NW,Unique store number,0,1
304867,527,Angleton,TX,1801 N Velasco St,Unique store number,0,1
303441,1709,ANGOLA,IN,2016 N Wayne St,Unique store number,0,1
303264,892,Ankeny,IA,1002 SE National Dr,Unique store number,0,1
303328,233,ANNA,IL,300 Leigh Ave,Unique store number,0,1
2449624,6963,ANNA,TX,521 S Central Expy,Unique store number,0,1
302604,329,Anniston,AL,5560 Mcclellan Blvd,Unique store number,0,1
302807,1881,Antelope,CA,7901 Watt Ave,Unique store number,0,1
305262,3268,Antigo,WI,200 E State Highway 64,Unique store number,0,1
302808,2697,Antioch,CA,4893 Lone Tree Way,Unique store number,0,1
499065,5058,Antioch,TN,3035 Hamilton Church Rd,Unique store number,0,1
595457,5199,Antioch,IL,475 E Il Route 173,Unique store number,0,1
302766,1381,Apache Junction,AZ,2555 W Apache Trl,Unique store number,0,1
866704,3889,Apex,NC,3151 Apex Peakway,Unique store number,0,1
4410949,2229,Apollo Beach,FL,5551 N US Hwy 41,Unique store number,0,1
2725080,6894,Apopka,FL,820 Balmy Beach Dr,Unique store number,0,1
303006,955,Apopka,FL,1700 S Orange Blossom Trl,Unique store number,0,1
302809,2333,Apple Valley,CA,20251 US Highway 18,Unique store number,0,1
303886,2642,Saint Paul,MN,7835 150th St W,Unique store number,0,1
305263,1982,Appleton,WI,955 N Mutual Way,Unique store number,0,1
305264,2958,Appleton,WI,3701 E Calumet St,Unique store number,0,1
881568,4636,Appomattox,VA,505 Oakville Rd,Unique store number,0,1
302605,306,Arab,AL,1450 N Brindlee Mountain Pkwy,Unique store number,0,1
